"Source:","F:\office\okra\okrasolar\svn\P-1000072_Cicada Wi-Fi\design\source\kicad\P-1000072_Cicada Wi-Fi.sch"
"Date:","10/19/2021 11:43:10 PM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","F:\office\okra\okrasolar\svn\okra_kicad_lib\scripts/OKRA_bom_csv_grouped_by_value_mpn_dnp.py"
"Component Count:","58"

"Collated Components:"

"Designator","Qty","DNP","Value","Description","Manufacturer","MPN","Footprint","SMT/THT","SOURCE","SRCPN","Alternate Manufacturer 1","Alternate MPN 1","Alternate Manufacturer 2","Alternate MPN 2"
"C1, C2, C21, C22, C24","5","","1000uF 10v","","Dongguan Chengxing Elec","GR108M010F12RR0VL4FP0","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","THT","lcsc","C3299","","","",""
"C3, C19","2","","100nF 16v X7R","","Guangdong Fenghua Advanced Tech","0603B104K500NT","Capacitor_SMD:C_0603_1608Metric","SMT","lcsc","C30926","","","",""
"C4, C20","2","","10uF 16v X7R","","Guangdong Fenghua Advanced Tech","0805B106K160NT","Capacitor_SMD:C_0805_2012Metric","SMT","lcsc","C92341","","","",""
"C5, C12, C17, C26","4","DNP","100nF 10v X5R","","YAGEO","CC0402MRX5R6BB104","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C2171572","","","",""
"C6, C8, C14, C29","4","","100nF 10v X5R","","YAGEO","CC0402MRX5R6BB104","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C2171572","","","",""
"C7, C28","2","DNP","100pF C0G","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","",""
"C9","1","","10uF 10v X5R","","YAGEO","CC0402MRX5R6BB106","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C962143","","","",""
"C10, C23","2","DNP","10pF C0G","","","","Capacitor_SMD:C_0402_1005Metric","","","","","","",""
"C11, C18, C25","3","DNP","100pF C0G","","Guangdong Fenghua Advanced Tech","0402CG101J500NT","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C1546","","","",""
"C13, C15, C27","3","DNP","10uF 10v X5R","","YAGEO","CC0402MRX5R6BB106","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C962143","","","",""
"C16","1","","100pF C0G","","Guangdong Fenghua Advanced Tech","0402CG101J500NT","Capacitor_SMD:C_0402_1005Metric","SMT","lcsc","C1546","","","",""
